FID,id,terrai_nome,etnia_nome,municipio_nome,uf_sigla,superficie_perimetro_ha,fase_ti,modalidade_ti,reestudo_ti,superficie_ti,terrai_codigo,gid,the_geom,undadm_codigo,undadm_nome,undadm_sigla
tis_pontos.fid-8091ffc_197eb0e14a4_3922,112,Planalto Santareno,"Apiaká, Mundurukú",Santarém,PA,0,Em Estudo,Tradicionalmente ocupada,,,73754,17,POINT (-54.25374444437499 -2.7784416676887176),30202001927,COORDENACAO REGIONAL DE TAPAJOS,CR-TPJ
tis_pontos.fid-8091ffc_197eb0e14a4_3923,113,Santuario Sagrado dos Pajes,Não especificada,Brasília,DF,0,Em Estudo,Tradicionalmente ocupada,,,73758,89,POINT (-47.9179893657148 -15.752796024065853),30202001962,COORDENACAO REGIONAL ARAGUAIA TOCANTINS,CR- ARGTO
tis_pontos.fid-8091ffc_197eb0e14a4_3924,114,Truká - Reestudo-Reestudo,Truká,Cabrobó,PE,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,73759,74,POINT (-39.43683888875001 -8.501019444375002),30202001983,COORDENACAO REGIONAL BAIXO SÃO FRANCISCO,CR-BSF
tis_pontos.fid-8091ffc_197eb0e14a4_3925,115,Serrote dos Campos,Pankará,Itacuruba,PE,0,Em Estudo,Tradicionalmente ocupada,,,73760,78,POINT (-38.70399999999999 -8.834000000000003),30202001969,COORDENACAO REGIONAL NORDESTE I,CR-NE-I
tis_pontos.fid-8091ffc_197eb0e14a4_3926,116,Krahô - Aldeia Takaywrá,Krahô,Lagoa da Confusão,TO,0,Em Estudo,Reserva Indígena,,,73761,143,POINT (-49.80251928171923 -10.97649123183413),30202001962,COORDENACAO REGIONAL ARAGUAIA TOCANTINS,CR- ARGTO
tis_pontos.fid-8091ffc_197eb0e14a4_3927,117,"Ilhas da Varge, Caxoí e Cana Brava",Tuxi,Belém do São Francisco,PE,0,Em Estudo,Tradicionalmente ocupada,,,73771,25,POINT (-39.215275 -8.682097222311283),30202001983,COORDENACAO REGIONAL BAIXO SÃO FRANCISCO,CR-BSF
tis_pontos.fid-8091ffc_197eb0e14a4_3928,118,Batovi - Reestudo,Wauja,"Gaúcha do Norte, Paranatinga",MT,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,73775,66,POINT (-54.02172222231127 -13.247527777688717),30202002060,COORDENACAO REGIONAL DO XINGU,CR-XIG
tis_pontos.fid-8091ffc_197eb0e14a4_3929,119,Aldeia Serra do Couro Dantas/Aldeia do Cachimbó,Pataxo Há-Há-Há,Ribeirão do Largo,BA,0,Em Estudo,Tradicionalmente ocupada,,,73776,126,POINT (-40.64001666768873 -15.282152777688717),30202002074,COORDENACAO REGIONAL LITORAL SUDESTE,CR-LIS
tis_pontos.fid-8091ffc_197eb0e14a4_392a,120,Migueleno,Migueléno,"Seringueiras, São Francisco do Guaporé, São Miguel do Guaporé",RO,0,Em Estudo,Tradicionalmente ocupada,,,73777,23,POINT (-63.568000000000005 -12.052000000000001),30202001948,COORDENACAO REGIONAL DE JI PARANA,CR-JPR
tis_pontos.fid-8091ffc_197eb0e14a4_392b,121,Terra do Moia Mala (Jaguari),Guaraní,Cocalinho,MT,0,Em Estudo,Tradicionalmente ocupada,,,73778,39,POINT (-51.431102777688714 -14.108652777688722),30202002053,COORDENACAO REGIONAL XAVANTE,CR-XAV
tis_pontos.fid-8091ffc_197eb0e14a4_392c,122,Lajeado do Bugre,Kaingang,"Cerro Grande, Lajeado do Bugre, Sagrada Família",RS,0,Em Estudo,Tradicionalmente ocupada,,,73779,40,POINT (-53.182 -27.689),30202002081,COORDENACAO REGIONAL DE PASSO FUNDO,CR-PFD
tis_pontos.fid-8091ffc_197eb0e14a4_392d,123,Carazinho,Kaingang,Carazinho,RS,0,Em Estudo,Tradicionalmente ocupada,,,73782,28,POINT (-52.775677777688735 -28.27153611125002),30202002081,COORDENACAO REGIONAL DE PASSO FUNDO,CR-PFD
tis_pontos.fid-8091ffc_197eb0e14a4_392e,124,Kaingang de Vitorino,Kaingang,Vitorino,PR,0,Em Estudo,Tradicionalmente ocupada,,,73783,9,POINT (-52.784000000000006 -26.27700000000002),30202002408,COORDENACAO REGIONAL DE GUARAPUAVA,CR-GRP
tis_pontos.fid-8091ffc_197eb0e14a4_392f,125,Terra Indígena Tremembé de Engenho,Tremembé,São José de Ribamar,MA,0,Em Estudo,Tradicionalmente ocupada,,,73784,10,POINT (-44.15841666768873 -2.5657166676887204),30202001997,COORDENACAO REGIONAL MARANHÃO,CR-MA
tis_pontos.fid-8091ffc_197eb0e14a4_3930,126,Campo do Meio (Re Kuju),Kaingang,"Ciríaco, Gentil",RS,0,Em Estudo,Tradicionalmente ocupada,,,73786,136,POINT (-52.044877777688725 -28.32478888874999),30202002081,COORDENACAO REGIONAL DE PASSO FUNDO,CR-PFD
tis_pontos.fid-8091ffc_197eb0e14a4_3931,127,Faxinal/São Miguel (Goj Kusa),Kaingang,Água Santa,RS,0,Em Estudo,Tradicionalmente ocupada,,,73787,135,POINT (-52.03400000000002 -28.177),30202002081,COORDENACAO REGIONAL DE PASSO FUNDO,CR-PFD
tis_pontos.fid-8091ffc_197eb0e14a4_3932,128,Fazenda Remanso Guaçu (TI Yvy-Katu/ Porto Lindo),Guarani Nhandeva,Japorã,MS,0,Em Estudo,Tradicionalmente ocupada,,,73788,137,POINT (-54.53266944 -23.77971389),30202002018,COORDENACAO REGIONAL DE PONTA PORA,CR-PTPR
tis_pontos.fid-8091ffc_197eb0e14a4_3933,129,Cassupá e Salamãi,Salamãy,"Chupinguaia, Vilhena",RO,0,Em Estudo,Tradicionalmente ocupada,,,73790,138,POINT (-60.89972222 -12.55222222),30202001871,COORDENACAO REGIONAL DE MANAUS,CR-MAO
tis_pontos.fid-8091ffc_197eb0e14a4_3934,130,Aranã Caboclo,Aranã,"Araçuaí, Coronel Murta",MG,0,Em Estudo,Tradicionalmente ocupada,,,73791,134,POINT (-42.07 -16.85),30202002067,COORDENACAO REGIONAL DE MINAS GERAIS E ESPIRITO SANTOS,CR-MGES
tis_pontos.fid-8091ffc_197eb0e14a4_3935,131,Aranã Índio,Aranã,"Araçuaí, Coronel Murta",MG,0,Em Estudo,Tradicionalmente ocupada,,,73792,140,POINT (-42.07 -16.85),30202002067,COORDENACAO REGIONAL DE MINAS GERAIS E ESPIRITO SANTOS,CR-MGES
tis_pontos.fid-8091ffc_197eb0e14a4_3936,132,Kinikinau do Agachi,Kinikinau,"Aquidauana, Miranda",MS,0,Em Estudo,Tradicionalmente ocupada,Principal,,73794,141,POINT (-56.118444444444 -20.369019444444),30202002004,COORDENACAO REGIONAL DE CAMPO GRANDE,CR-CGR
tis_pontos.fid-8091ffc_197eb0e14a4_3937,133,Kulina do Rio Uerê (Matatibem),Kulina Madijá,Carauari,AM,0,Em Estudo,Tradicionalmente ocupada,Principal,,73795,139,POINT (-67.009113587364 -5.207422511403872),30202001845,COORDENACAO REGIONAL ALTO PURUS,CR-ALPR
tis_pontos.fid-8091ffc_197eb0e14a4_3938,134,Lago do Soares e Urucurituba,Múra,Autazes,AM,0,Em Estudo,Tradicionalmente ocupada,,,73797,148,POINT (-58.92980278 -3.548575),30202001871,COORDENACAO REGIONAL DE MANAUS,CR-MAO
tis_pontos.fid-8091ffc_197eb0e14a4_3939,135,Estirão,"Kulina Páno, Yaminawa",Santa Rosa do Purus,AC,0,Em Estudo,Tradicionalmente ocupada,Principal,,73800,149,POINT (-70.5194727037517 -9.475258895204623),30202001845,COORDENACAO REGIONAL ALTO PURUS,CR-ALPR
