FID,cod_aldeia,nome_aldeia,cod_ti,cod_municipio,data_cadastro,flag_ativo,nome_cr,the_geom,nommunic,nomuf,undadm_codigo,coord_lat,coord_long
aldeias_pontos.fid-8091ffc_197eb49b98a_3adb,1301,PYKATÃKWYRY,9201,5106422,21/09/2017,A,COORDENACAO REGIONAL NORTE DO MATO GROSSO,POINT (-53.0879694444 -10.5117527778),Peixoto de Azevedo,Mato Grosso,30202002039,-10.51175278,-53.08796944
aldeias_pontos.fid-8091ffc_197eb49b98a_3adc,5240,Paama Mastakama,59001,5106828,10/01/2025,A,COORDENACAO REGIONAL DE CUIABA,POINT (-59.415066694444 -16.228487944444),Porto Esperidião,Mato Grosso,30202002025,-16.22848794,-59.41506669
aldeias_pontos.fid-8091ffc_197eb49b98a_3add,2358,Paapiú,50901,1400282,16/07/2018,A,COORDENACAO REGIONAL DE RORAIMA,POINT (-63.15875 2.65863333333),Iracema,Roraima,30202001955,2.65863333,-63.15875
aldeias_pontos.fid-8091ffc_197eb49b98a_3ade,959,Paapoko,50901,1400050,14/03/2017,A,COORDENACAO REGIONAL DE RORAIMA,POINT (-63.868000015 3.3272500410001),Alto Alegre,Roraima,30202001955,3.32725004,-63.86800001
aldeias_pontos.fid-8091ffc_197eb49b98a_3adf,5130,Paaricá,68101,1505304,09/08/2023,A,COORDENACAO REGIONAL DE MANAUS,POINT (-57.1727611111 -0.896427777778),Oriximiná,Pará,30202001871,-0.89642778,-57.17276111
aldeias_pontos.fid-8091ffc_197eb49b98a_3ae0,120,Pacovinha,42601,5105150,,A,COORDENACAO REGIONAL NOROESTE DO MATO GROSSO,POINT (-59.233611111111 -10.883611111111),Juína,Mato Grosso,30202002032,-10.88361111,-59.23361111
aldeias_pontos.fid-8091ffc_197eb49b98a_3ae1,1034,Padauiri,50901,1300409,14/03/2017,A,COORDENACAO REGIONAL DE RORAIMA,POINT (-64.209290194 1.3134489830001),Barcelos,Amazonas,30202001955,1.31344898,-64.20929019
aldeias_pontos.fid-8091ffc_197eb49b98a_3ae2,1036,Pahana,50901,1300409,14/03/2017,A,COORDENACAO REGIONAL DE RORAIMA,POINT (-64.466388932 1.3186111410001),Barcelos,Amazonas,30202001955,1.31861114,-64.46638893
aldeias_pontos.fid-8091ffc_197eb49b98a_3ae3,1322,Paiol,52901,1302553,28/11/2017,A,COORDENACAO REGIONAL DE MANAUS,POINT (-60.6689647222 -3.82150527778),Manaquiri,Amazonas,30202001871,-3.82150528,-60.66896472
aldeias_pontos.fid-8091ffc_197eb49b98a_3ae4,4709,Paiol de Barro,50201,4205175,12/01/2022,A,COORDENACAO REGIONAL INTERIOR DO SUL,POINT (-52.5672416667 -26.7611361111),Entre Rios,Santa Catarina,30202002088,-26.76113611,-52.56724167
aldeias_pontos.fid-8091ffc_197eb49b98a_3ae5,296,Pairakae,49401,1600154,,A,COORDENACAO REGIONAL AMAPÁ E NORTE DO PARÁ,POINT (-52.4882166667 1.17696666667),Pedra Branca do Amapari,Amapá,30202001899,1.17696667,-52.48821667
aldeias_pontos.fid-8091ffc_197eb49b98a_3ae6,4646,Pajurá,62501,1506807,07/01/2022,A,COORDENACAO REGIONAL DE TAPAJOS,POINT (-55.2302777778 -2.80277777778),Santarém,Pará,30202001927,-2.80277778,-55.23027778
aldeias_pontos.fid-8091ffc_197eb49b98a_3ae7,4417,Pajuçara,71101,2303709,25/06/2021,A,COORDENACAO REGIONAL NORDESTE II,POINT (-38.7227777778 -3.66388888889),Caucaia,Ceará,30202001976,-3.66388889,-38.72277778
aldeias_pontos.fid-8091ffc_197eb49b98a_3ae8,4237,Pakatu,3801,1500602,16/07/2020,A,COORDENACAO REGIONAL CENTRO-LESTE DO PARÁ,POINT (-52.6841944444 -4.60361111111),Altamira,Pará,30202001913,-4.60361111,-52.68419444
aldeias_pontos.fid-8091ffc_197eb49b98a_3ae9,4156,Pakaya,33801,5107354,10/06/2020,A,COORDENACAO REGIONAL DO XINGU,POINT (-53.079308333333 -10.781588888889),São José do Xingu,Mato Grosso,30202002060,-10.78158889,-53.07930833
